年月,國別,台北市[金額，新台幣],台北市[筆數],新北市[金額，新台幣],新北市[筆數],桃園市[金額，新台幣],桃園市[筆數],台中市[金額，新台幣],台中市[筆數],台南市[金額，新台幣],台南市[筆數],高雄市[金額，新台幣],高雄市[筆數]
106年01月,美國,484314181,117957,282657123,90595,134667807,35823,119763938,38195,51061592,20161,86754976,34307
106年01月,盧森堡,177119456,230368,174731435,254650,79170506,104299,92858227,134879,40345976,63658,70865808,109754
106年01月,中國,170404163,69402,183788484,90149,65202581,35516,85834678,44868,38375426,22438,62670334,38756
106年01月,香港,186009489,32991,117749509,29885,38572910,10769,49400102,12833,27049742,6140,41188095,10927
106年01月,新加坡,144443591,30708,84275724,25038,31111447,9112,41422215,11554,27995221,5726,39199489,9583
106年01月,荷蘭,135353326,284205,89951534,185252,23358000,37390,37627234,65232,12726362,10047,24815245,57860
106年01月,南韓,89812791,21453,86286495,20777,32396779,7553,47129243,9780,20734743,4909,32908846,7620
106年01月,法國,130668918,9406,70604455,5939,25312334,2377,24580350,2372,12151175,1290,20709047,2242
106年02月,日本,715918755,156973,576183328,141067,206676579,50060,263802732,58867,142994828,33101,240383757,55793
106年02月,英國,592698608,199631,467711735,276051,207976203,132652,233497789,135641,104430846,75581,179356289,128059
106年02月,美國,469351298,110461,280689235,85243,93421077,32788,132531087,37340,65022859,19591,95863774,33732
106年02月,中國,196545301,82723,186711028,107195,72205869,44793,98271074,56492,44122177,28404,71633697,48833
106年02月,盧森堡,161287941,252912,175772849,279657,73192656,115556,95813055,147548,41377364,69850,70593317,121119
106年02月,香港,170579610,33611,109022615,31617,38179415,11827,49522556,13415,25082784,6708,42655457,11839
106年02月,新加坡,167436386,32632,92582895,28295,36129754,10290,49415425,12358,24346721,6426,35923678,10900
106年02月,南韓,90311669,22520,101017532,24492,45109692,9415,50210225,10185,22265062,5233,37939681,8674
106年02月,法國,92929945,8764,68875603,6332,46486631,2361,28429207,2675,13977164,1340,23957062,2408
106年02月,荷蘭,104358190,113462,67975105,70199,23298523,16546,33782468,26422,13657820,5857,25152217,23547
106年03月,日本,672193020,157034,590071690,144287,211292521,52676,264863078,59799,150115494,35561,267760938,61311
106年03月,英國,710360104,239876,565584848,329227,232230063,162512,273573204,163041,127844604,93755,210983725,154130
106年03月,美國,553584343,127559,309466975,93726,113487575,38648,143012769,42240,66153632,21987,106157002,37510
106年03月,中國,297024857,114903,277322951,145213,99307106,60330,130482578,78937,62889517,39955,101752591,68064
106年03月,愛爾蘭,221937659,225822,231709319,252454,83987635,102519,116154670,132160,52525263,63892,87622954,107149
106年03月,香港,218737703,34968,126060080,30162,39837105,10866,58768497,12947,25404282,6421,49214230,11538
106年03月,新加坡,180740233,34710,111746808,29114,52051218,11530,50834237,13125,24726362,6910,45899506,11372
106年03月,南韓,96637598,25752,96931218,25998,37805167,10255,46360253,11207,25029529,6453,37726598,9990
106年03月,法國,144327141,11099,77375408,7195,29353164,2966,35579714,3289,18180382,1548,30218740,2864
106年03月,荷蘭,112785573,47298,69412147,28606,23868224,9077,36856410,12234,16085176,5337,24376573,8733
106年04月,日本,781435473,173149,609318331,149286,224477371,55600,282935774,64070,150766973,35931,249679968,59020
106年04月,英國,643632695,239363,527776945,330562,225271996,164565,262922677,163273,128389038,97306,205764623,154194
106年04月,美國,569369828,134130,305059775,96144,105337900,38718,148584121,43080,59707978,22509,105039824,39646
106年04月,愛爾蘭,276943156,310812,319004219,339719,121010358,142830,163874556,177177,72087787,89023,112704664,146272
106年04月,中國,291716390,116790,255216103,151074,100652817,65968,130376186,81176,61488973,42071,103476274,70895
106年04月,香港,224040425,36107,131012591,31006,43525327,12125,53610621,12785,28589061,6962,46698673,12035
106年04月,新加坡,182058967,35131,105097225,28468,43774324,11389,60986297,13460,25467601,6659,39590625,11134
106年04月,南韓,114926828,30668,111118498,30573,45187231,11610,54107421,12652,26081125,6817,46573170,11586
106年04月,法國,125502051,11482,63506686,6620,28733166,2820,28734881,3089,12382058,1434,28013460,2677
106年04月,荷蘭,105004919,69601,68506990,43298,27903647,10953,32774040,12938,12397205,5728,24793324,9852
106年05月,日本,664289485,162135,568153717,146966,213481072,54431,260085818,62663,133124105,34128,220507684,55171
106年05月,英國,630400403,207304,508879897,279062,209821935,135392,250684614,138535,110167731,76184,186779201,130484
106年05月,美國,537727911,125529,306724358,95054,109316947,37585,151159655,44054,62141807,22295,101429412,37720
106年05月,愛爾蘭,234158268,270390,276975566,293593,95346456,120362,137164304,155978,57676482,74469,104735574,127894
106年05月,中國,239979760,108653,250862436,137999,88928165,57933,116751611,73124,51385720,35525,90910179,64714
106年05月,香港,193215430,32260,117584060,28296,35939800,10436,47717716,12372,26043278,6183,49537352,11565
106年05月,新加坡,159775409,30691,100002821,24827,46682501,9604,51726855,11740,38960502,5302,35515205,9262
106年05月,法國,145164824,11753,77080982,7792,31031159,2892,34235402,3045,13871952,1594,25877300,2762
106年05月,南韓,84106589,24889,93301727,27855,37596642,10540,42679893,10976,25552595,7080,40349265,10057
106年05月,荷蘭,123641927,113040,74016389,72635,28622421,16179,38475966,23727,14411507,7181,27675303,30224
106年06月,日本,630393662,153802,514977210,139564,198982147,53060,227688257,57322,121105171,32257,204341354,54168
106年06月,英國,568206278,184078,419956093,250967,163726326,120400,214118583,124204,95549906,65732,160106310,120649
106年06月,美國,485755105,116629,278499078,87924,107051869,36094,126839281,42426,59958980,21259,92194838,34864
106年06月,愛爾蘭,209605840,233355,230607801,256842,87462643,103716,119970909,141495,47612919,61766,88928134,112565
106年06月,中國,220879338,97966,201668515,123374,78496393,49889,106079173,65512,45908629,30916,78802929,58122
106年06月,香港,161605422,31067,101538715,25577,33889305,9200,59636688,10966,20033974,5257,38717688,10311
106年06月,法國,165961237,14023,82334162,8313,26506431,3016,40225830,3592,14603628,1740,34578794,3008
106年06月,新加坡,137482476,25933,78240636,20288,37553692,8056,39526309,10056,18587656,4375,28376417,8077
106年06月,南韓,88891405,25532,86349625,26107,33858857,10263,42456814,10627,21043174,6033,35830702,9480
